3M                                    94 MAPLEWOOD          MN5514491584  
STEEL DYNAMICS                        347FORT WAYNE         IN468047695   
STRYKER                               252KALAMAZOO          MI4900233000  
SUNTRUST BANKS                        303ATLANTA            GA3030824375  
SUPERVALU                             158EDEN PRAIRIE       MN5534438000  
SYMANTEC                              465MOUNTAIN VIEW      CA9404311000  
SYNCHRONY FINANCIAL                   185STAMFORD           CT6902 15000  
SYNNEX                                198FREMONT            CA94538110000 
SYSCO                                 57 HOUSTON            TX7707751900  
TARGA RESOURCES                       402HOUSTON            TX770021970   
TARGET                                38 MINNEAPOLIS        MN55403323000 
TECH DATA                             107CLEARWATER         FL337609500   
TENET HEALTHCARE                      134DALLAS             TX75202116475 
TENNECO                               322LAKE FOREST        IL6004531000  
TEREX                                 445WESTPORT           CT6880 18100  
TESLA                                 383PALO ALTO          CA9430430025  
TEXAS INSTRUMENTS                     206DALLAS             TX7524329865  
TEXTRON                               200PROVIDENCE         RI2903 36000  
THERMO FISHER SCIENTIFIC              154WALTHAM            MA2451 54800  
THRIVENT FINANCIAL FOR LUTHERANS      316MINNEAPOLIS        MN554153282   
TIAA                                  80 NEW YORK           NY1001712997  
TIME WARNER                           95 NEW YORK           NY1001925000  
TJX                                   87 FRAMINGHAM         MA1701 235000 
TOLL BROTHERS                         497HORSHAM            PA190444200   
"TOYS ""R"" US"                       244WAYNE              NJ7470 64000  
TRACTOR SUPPLY                        396BRENTWOOD          TN3702719500  
TRAVELCENTERS OF AMERICA              470WESTLAKE           OH4414520259  
TRAVELERS COS.                        99 NEW YORK           NY1001730900  
TREEHOUSE FOODS                       427OAK BROOK          IL6052316027  
TWENTY-FIRST CENTURY FOX              101NEW YORK           NY1003621500  
TYSON FOODS                           82 SPRINGDALE         AR72762114000 
U.S. BANCORP                          125MINNEAPOLIS        MN5540271191  
UGI                                   457KING OF PRUSSIA    PA1940613105  
UNION PACIFIC                         143OMAHA              NE6817942919  
UNITED CONTINENTAL HOLDINGS           83 CHICAGO            IL6060688000  
UNITED NATURAL FOODS                  325PROVIDENCE         RI2908 9554   
UNITED RENTALS                        452STAMFORD           CT6902 12500  
UNITED STATES STEEL                   279PITTSBURGH         PA1521929800  
UNITED TECHNOLOGIES                   50 FARMINGTON         CT6032 201600 
UNITEDHEALTH GROUP                    6  MINNETONKA         MN55343230000 
UNIVAR                                338DOWNERS GROVE      IL605158700   
UNIVERSAL HEALTH SERVICES             276KING OF PRUSSIA    PA1940670863  
UNUM GROUP                            258CHATTANOOGA        TN374029400   
UPS                                   46 ATLANTA            GA30328335520 
US FOODS HOLDING                      124ROSEMONT           IL6001825000  
USAA                                  102SAN ANTONIO        TX7828829943  
VALERO ENERGY                         37 SAN ANTONIO        TX782499996   
VERITIV                               331ATLANTA            GA303288700   
